Trace,Managers,Agents,"get-request","get-next-request","get-bulk-request","set-request","trap","trap2","inform","response","report"
Traffic Trace 28,8,292,13634,1766,625,0,1914,8644,67,41442,39
Traffic Trace 29,8,255,7053,3410,280,2,1779,8632,1,6947,44
Traffic Trace 30,4,280,14928,1242,969,7,1525,7892,84,20530,13
Traffic Trace 31,8,285,11639,3117,617,3,1420,7923,71,10137,42
Traffic Trace 32,1,250,10827,1917,780,2,1419,9687,69,48898,50
Traffic Trace 33,7,251,7554,1628,551,8,1158,9681,90,53795,60
Traffic Trace 34,7,282,4000,3889,64,5,1672,7699,95,48441,23
Traffic Trace 35,7,260,1183,3620,631,9,1578,8338,41,15599,47
Traffic Trace 36,9,279,1342,2745,741,10,1542,8912,52,12123,28
Traffic Trace 37,8,258,5840,1380,842,6,1195,8947,82,50409,86
Traffic Trace 38,9,287,7893,3069,309,10,1141,8709,41,1065,15
Traffic Trace 39,4,283,13499,1739,200,5,1870,8208,81,35947,57
Traffic Trace 40,1,293,6806,3077,45,0,1549,9658,93,22455,62
Traffic Trace 41,4,255,13975,1746,250,5,1768,7804,65,12214,93
Traffic Trace 42,5,278,2788,748,427,5,1883,7078,10,2404,88
Traffic Trace 43,5,289,13915,2538,325,8,1507,9098,42,55478,81
Traffic Trace 44,3,264,1808,3470,48,3,1497,7755,25,2265,81
Traffic Trace 45,4,255,4309,3689,992,2,1014,7094,14,31982,81
Traffic Trace 46,0,255,2861,3546,623,9,1295,8641,64,38859,83
Traffic Trace 47,7,275,13261,581,993,1,1276,7091,94,39380,14
Traffic Trace 48,1,278,2832,2025,582,1,1575,7345,98,38226,23
Traffic Trace 49,1,275,12938,3775,803,4,1575,8351,22,16371,95
Traffic Trace 50,1,265,14151,1307,572,10,1167,7685,11,20440,80
Traffic Trace 51,2,289,6288,1909,351,5,1373,9967,73,28588,50
Traffic Trace 52,6,271,5182,3915,988,8,1203,7780,70,18373,56
Traffic Trace 53,6,277,2795,2617,705,3,1714,7135,15,57258,82
Traffic Trace 54,5,268,3423,579,730,1,1746,7619,66,19303,62
Traffic Trace 55,10,265,9482,2970,500,9,1401,9420,42,2189,34
Traffic Trace 56,6,282,1669,3676,355,1,1059,7929,92,35369,67
Traffic Trace 57,0,281,6556,1372,358,6,1907,9040,22,51803,98
Traffic Trace 58,9,279,7686,2929,971,3,1116,7020,63,40008,65
Traffic Trace 59,7,279,1054,3189,634,3,1683,7669,99,46196,84
Traffic Trace 60,4,250,3709,3933,926,9,1202,9368,85,1822,36
Traffic Trace 61,3,286,5605,2643,841,3,1240,8522,99,54907,8
Traffic Trace 62,10,284,11005,1557,366,10,1282,7407,78,39592,15
Traffic Trace 63,10,282,2132,3440,844,9,1691,9621,23,1120,60
Traffic Trace 64,6,282,7134,3628,871,10,1878,9358,2,51963,47
Traffic Trace 65,8,258,12689,2876,450,10,1452,7331,12,25074,75
Traffic Trace 66,2,263,9319,768,949,5,1305,9901,6,51774,60
Traffic Trace 67,5,288,7560,2072,634,2,1476,8501,73,13005,67
Traffic Trace 68,6,295,2663,2352,347,2,1655,9295,98,51658,2
Traffic Trace 69,6,297,14591,647,243,10,1107,7317,54,36685,87
Traffic Trace 70,0,253,7950,1404,536,10,1982,9259,67,32433,65
Traffic Trace 71,8,253,14936,545,725,8,1994,8756,79,34058,52
Traffic Trace 72,8,281,11719,2919,718,9,1226,7986,74,13823,39
Traffic Trace 73,2,274,13956,1293,471,7,1892,7033,32,40532,8
Traffic Trace 74,3,285,12276,788,682,4,1866,7748,92,37140,86
Traffic Trace 75,7,265,9074,2427,537,9,1284,9302,29,30820,25
Traffic Trace 76,2,287,11173,3645,632,8,1225,7922,82,32833,100
Traffic Trace 77,6,282,10492,552,495,10,1929,7341,79,36468,42
Traffic Trace 78,3,258,14452,1441,442,8,1564,9868,99,47046,70
Traffic Trace 79,7,284,5590,2069,908,6,1267,8365,63,53485,8
Traffic Trace 80,3,296,9113,1328,835,7,1023,8328,11,23226,60
Traffic Trace 81,0,283,1606,3322,220,10,1790,7012,70,30019,69
Traffic Trace 82,0,298,9324,2804,215,0,1289,7321,13,35915,1
Traffic Trace 83,7,292,12880,1925,859,3,1525,7738,90,36179,91
Traffic Trace 84,10,270,2710,3773,199,1,1630,9099,82,39184,65
Traffic Trace 85,4,265,13092,2100,601,10,1591,7598,99,18302,3
Traffic Trace 86,9,286,13508,934,237,1,1016,9520,4,57144,25
Traffic Trace 87,1,295,7275,1515,517,1,1103,7511,80,30635,48
Traffic Trace 88,7,299,2153,2705,559,3,1614,9593,31,26820,58
Traffic Trace 89,2,279,12384,1722,588,7,1390,8620,91,33256,43
Traffic Trace 90,3,293,14227,2242,948,1,1293,8373,60,57179,42
Traffic Trace 91,7,279,14785,3864,197,9,1277,8933,42,29209,21
Traffic Trace 92,2,292,12245,3619,226,3,1793,9342,77,8584,63
Traffic Trace 93,7,282,9011,3407,935,0,1427,9663,46,6398,47
Traffic Trace 94,4,253,10352,1511,345,3,1714,9495,53,57124,67
Traffic Trace 95,3,292,13515,2860,636,7,1445,9338,30,9615,42
Traffic Trace 96,9,300,5963,3657,418,2,1357,8575,71,47851,59
Traffic Trace 97,4,254,14120,2926,801,8,1220,9258,44,33107,60
Traffic Trace 98,3,261,4241,515,671,0,1304,9494,43,10547,83
Traffic Trace 99,8,253,4362,595,435,8,1740,7697,36,7225,32
Traffic Trace 100,3,291,2668,721,34,9,1499,8758,47,49746,82
Traffic Trace 101,7,292,7760,2982,137,3,1139,7940,13,55498,39
Traffic Trace 102,4,298,12562,994,692,0,1499,9437,38,47587,63
Traffic Trace 103,5,293,10238,1787,355,2,1835,7553,5,32013,1
Traffic Trace 104,5,262,3180,3492,382,5,1991,7923,86,22010,26
Traffic Trace 105,7,275,14324,3105,6,8,1121,9400,39,37038,66
Traffic Trace 106,0,300,1160,1534,820,2,1353,8061,21,53628,60
Traffic Trace 107,4,288,14706,3437,739,3,1699,7317,55,23114,62
Traffic Trace 108,5,256,9688,1417,250,4,1652,9604,7,42088,86
Traffic Trace 109,0,300,10422,1493,350,0,1498,7731,62,52060,100
Traffic Trace 110,6,286,11240,3609,406,9,1434,9374,45,55947,92
Traffic Trace 111,0,259,3396,2222,847,0,1568,8643,90,39368,55
Traffic Trace 112,6,297,13527,2570,438,1,1214,7916,13,48964,1
Traffic Trace 113,9,285,6852,2949,139,2,1151,7214,13,13365,26
Traffic Trace 114,3,286,2567,1690,283,7,1232,9819,20,47811,88
Traffic Trace 115,1,269,5436,1331,603,6,1368,8256,64,13857,12
Traffic Trace 116,0,297,4666,1415,81,3,1391,7913,60,41525,1
Traffic Trace 117,7,251,5235,1797,264,2,1575,7182,12,40432,45
Traffic Trace 118,4,296,1723,711,280,5,1695,8533,59,44803,44
Traffic Trace 119,9,250,8325,1159,399,9,1788,7273,85,29907,12
Traffic Trace 120,1,294,6422,1869,444,4,1512,7353,90,57032,2
Traffic Trace 121,10,250,5331,1967,706,9,1012,8356,26,52058,46
Traffic Trace 122,8,252,13031,2645,844,10,1459,8026,7,36527,21
Traffic Trace 123,5,250,10171,3683,512,8,1807,8389,81,45326,47
Traffic Trace 124,1,258,3508,3762,187,6,1194,7164,9,58742,11
Traffic Trace 125,10,280,14360,3655,51,3,1976,8980,51,26187,66
Traffic Trace 126,1,267,3414,3774,152,6,1738,9724,11,50942,8
Traffic Trace 127,3,289,4771,3719,975,3,1010,9862,43,57693,55
Traffic Trace 128,4,294,9356,2898,838,2,1192,7823,92,21287,62
Traffic Trace 129,0,264,11816,3037,27,7,1834,9630,77,7350,66
Traffic Trace 130,0,252,9851,1747,53,6,1791,7043,13,10800,88
Traffic Trace 131,8,294,11015,3949,57,10,1903,8237,61,59497,70
Traffic Trace 132,4,286,11219,720,551,6,1826,9019,26,51470,72
Traffic Trace 133,9,260,11754,2187,5,8,1614,7555,66,20533,5
Traffic Trace 134,4,266,2510,1778,229,5,1976,7664,22,21461,94
Traffic Trace 135,10,271,7837,2457,246,1,1823,7312,88,43148,32
Traffic Trace 136,7,260,5524,1996,815,5,1087,7471,56,27762,48
Traffic Trace 137,7,292,11003,1153,803,10,1409,7481,88,21744,58
Traffic Trace 138,3,297,12586,2332,745,10,1400,8391,25,2678,67
Traffic Trace 139,6,274,7721,784,559,7,1640,7066,12,18357,85
Traffic Trace 140,9,275,10139,3204,903,8,1646,7794,39,489,18
Traffic Trace 141,2,277,14034,1038,932,4,1404,9929,6,58604,45
Traffic Trace 142,5,252,1105,1121,698,0,1299,7010,88,8164,50
Traffic Trace 143,5,296,6578,1710,555,7,1741,8689,85,57747,9
Traffic Trace 144,8,255,1362,1113,520,0,1235,8490,45,46515,56
Traffic Trace 145,5,298,4531,2206,252,2,1367,8164,75,53950,29
Traffic Trace 146,1,262,12920,3348,986,4,1663,9843,51,26602,6
Traffic Trace 147,5,281,9174,2378,854,0,1987,8887,64,26672,58
Traffic Trace 148,9,297,12673,1001,299,2,1896,7593,52,2731,44
Traffic Trace 149,4,293,6990,3246,522,4,1293,9897,44,49662,58
Traffic Trace 150,0,268,7129,863,351,0,1739,9387,65,37579,73
Traffic Trace 151,5,289,1368,2965,665,2,1223,9131,67,35588,57
Traffic Trace 152,1,269,2276,2146,671,0,1910,8495,64,55962,87
Traffic Trace 153,0,251,3994,1008,776,0,1794,8205,74,16568,17
Traffic Trace 154,8,300,12700,3957,203,6,1655,9390,11,44953,17
Traffic Trace 155,2,261,12827,1419,129,3,1904,7184,20,58900,9
Traffic Trace 156,4,256,13227,2002,921,3,1166,7590,45,55784,17
Traffic Trace 157,3,296,6330,3397,572,1,1943,7963,35,8922,54
Traffic Trace 158,2,270,10371,2388,315,8,1745,7889,83,9892,42
Traffic Trace 159,7,280,5816,3921,761,5,1423,9071,72,42301,61
Traffic Trace 160,1,277,3509,1466,475,5,1628,8872,4,49424,3
Traffic Trace 161,7,268,5900,2043,108,7,1270,7819,7,58330,87
Traffic Trace 162,4,298,9788,3841,373,3,1673,7233,93,46278,61
Traffic Trace 163,1,252,2195,2617,675,7,1645,8496,75,21312,87
Traffic Trace 164,1,290,14580,3093,65,2,1811,7114,11,13446,99
Traffic Trace 165,8,259,6042,696,851,4,1982,8867,4,5147,67
Traffic Trace 166,1,285,5824,3450,336,9,1587,9073,71,40883,49
Traffic Trace 167,7,271,8741,3713,232,6,1028,8370,58,45999,64
Traffic Trace 168,10,291,7809,1818,804,1,1425,9670,78,33487,58
Traffic Trace 169,1,270,13824,3882,988,6,1671,9008,9,20749,9
Traffic Trace 170,7,263,5533,1333,292,8,1817,7177,41,45311,89
Traffic Trace 171,9,256,10598,537,556,6,1790,7343,15,54734,52
Traffic Trace 172,0,294,8041,2875,549,1,1773,9686,26,25166,16
Traffic Trace 173,6,283,7319,1787,474,5,1784,7687,39,41127,36
Traffic Trace 174,0,285,13840,2785,485,0,1809,8193,55,52790,27
Traffic Trace 175,0,278,12556,1276,331,7,1485,9251,88,4330,41
Traffic Trace 176,3,272,13342,3445,223,1,1233,9726,47,18654,61
Traffic Trace 177,4,299,2264,1971,772,5,1967,8956,77,998,21
Traffic Trace 178,6,262,8573,1585,724,3,1189,9387,70,31250,23
Traffic Trace 179,6,268,7421,2919,596,4,1162,9720,98,33066,87
Traffic Trace 180,0,299,9992,2427,939,3,1314,9865,50,54245,19
Traffic Trace 181,0,260,13835,1678,404,7,1035,9775,95,36938,28
Traffic Trace 182,4,265,13358,3208,469,8,1746,7060,66,48496,100
Traffic Trace 183,3,268,14018,2586,674,9,1100,8732,7,8733,79
Traffic Trace 184,10,274,3739,2975,517,1,1655,7398,41,3672,44
Traffic Trace 185,3,292,13723,777,581,10,1739,8167,92,2426,75
Traffic Trace 186,9,282,6894,3073,737,10,1813,9647,79,48474,36
Traffic Trace 187,10,276,13340,871,169,0,1514,7693,45,48231,6
Traffic Trace 188,3,295,10051,1521,622,0,1212,8987,79,3772,30
Traffic Trace 189,2,290,1493,1208,611,10,1993,8257,28,58683,94
Traffic Trace 190,1,254,2453,1120,598,3,1631,8205,40,59642,28
Traffic Trace 191,0,264,13696,788,498,6,1866,8684,87,4172,36
Traffic Trace 192,9,263,14586,3372,264,4,1102,7727,32,15888,32
Traffic Trace 193,4,272,13941,3168,73,3,1163,7202,61,12600,35
Traffic Trace 194,5,264,12921,804,158,4,1955,7683,77,51480,50
Traffic Trace 195,8,284,11694,960,781,0,1455,7135,33,52949,49
Traffic Trace 196,2,282,8848,2540,808,6,1193,7052,99,42686,31
Traffic Trace 197,9,290,7554,1358,753,7,1016,8833,19,45543,29
Traffic Trace 198,10,295,1980,3879,346,1,1298,7685,60,33308,88
Traffic Trace 199,1,257,10526,3269,332,7,1772,7129,0,36268,85
Traffic Trace 200,5,293,9326,1101,867,2,1367,8876,50,19584,52
Traffic Trace 201,6,264,13067,2883,590,0,1283,7435,97,26787,28
Traffic Trace 202,7,262,9610,1695,9,7,1349,8842,50,49542,46
Traffic Trace 203,1,300,5618,1552,365,10,1796,9074,47,21693,99
Traffic Trace 204,3,252,9022,1982,326,7,1387,9317,0,1820,0
Traffic Trace 205,6,268,1266,1460,722,6,1775,8641,9,52144,55
Traffic Trace 206,4,258,13734,1835,966,6,1853,7981,58,11177,37
Traffic Trace 207,1,281,10733,3562,997,5,1876,7080,48,29529,40
Traffic Trace 208,5,289,2684,951,541,7,1225,8230,21,39082,58
Traffic Trace 209,1,251,8634,3029,886,9,1306,7216,24,27795,68
Traffic Trace 210,10,267,10499,1915,214,7,1882,9119,10,22641,47
Traffic Trace 211,2,275,1194,3622,732,4,1104,8148,0,13557,41
Traffic Trace 212,6,298,5219,1974,255,4,1663,9155,5,36012,5
Traffic Trace 213,8,250,4785,2037,886,10,1544,7790,45,46093,77
Traffic Trace 214,5,283,8013,3606,765,9,1891,9972,30,26388,94
Traffic Trace 215,6,293,3714,3909,524,10,1029,7373,97,45786,13
Traffic Trace 216,2,260,1210,1254,746,3,1665,8543,4,7690,17
Traffic Trace 217,6,250,14145,2014,907,10,1732,8038,87,19950,20
Traffic Trace 218,0,265,11240,3910,336,9,1943,7296,99,10879,30
Traffic Trace 219,10,270,1661,1474,61,6,1326,7569,74,52518,20
Traffic Trace 220,7,265,2562,2614,39,5,1472,8117,67,32062,68
Traffic Trace 221,4,275,1204,1382,451,1,1237,8897,41,14213,2
Traffic Trace 222,5,276,2269,582,842,3,1760,9151,49,26053,2
Traffic Trace 223,6,251,1904,692,511,4,1720,7134,11,6977,55
Traffic Trace 224,1,268,1063,1354,606,7,1659,9528,67,7249,36
Traffic Trace 225,8,257,3788,629,904,10,1523,8014,95,7186,38
Traffic Trace 226,0,258,13416,2048,895,10,1558,7032,49,41317,38
Traffic Trace 227,5,297,14788,944,591,9,1793,9137,18,32979,86
Traffic Trace 228,4,279,11644,1550,109,1,1240,7687,47,14761,40
Traffic Trace 229,3,285,5177,1526,246,3,1779,9806,69,16100,87
Traffic Trace 230,7,270,7427,2252,188,1,1685,9213,2,4157,32
Traffic Trace 231,8,268,7075,3603,610,7,1361,9568,6,43339,54
Traffic Trace 232,4,250,12071,2861,794,7,1363,7187,59,2169,46
Traffic Trace 233,0,277,10038,1284,222,4,1252,7874,71,2402,66
Traffic Trace 234,1,297,4785,3317,287,1,1872,7029,67,14229,2
Traffic Trace 235,5,296,12469,1155,274,9,1781,7932,34,50022,85
Traffic Trace 236,10,252,1969,1788,309,3,1075,8049,2,13049,27
Traffic Trace 237,3,251,8889,1962,895,6,1088,7394,60,32983,4
Traffic Trace 238,4,287,5444,1546,518,6,1638,8055,48,37356,41
Traffic Trace 239,5,300,11067,3669,66,0,1927,7851,34,13051,30
Traffic Trace 240,9,282,3804,2185,724,3,1079,7819,37,29832,1
Traffic Trace 241,7,290,8395,1621,434,9,1796,7170,29,20423,4
Traffic Trace 242,0,262,2590,769,171,4,1422,8168,71,19809,2
Traffic Trace 243,9,291,11472,1324,892,0,1610,8165,3,18127,18
Traffic Trace 244,6,281,9665,2038,418,7,1729,9275,73,44228,0
Traffic Trace 245,9,291,3460,1318,236,6,1938,8699,59,50465,38
Traffic Trace 246,3,253,4766,1755,687,7,1390,9966,85,56994,61
Traffic Trace 247,5,269,1406,978,118,8,1860,9566,79,41783,67
Traffic Trace 248,10,297,13678,2363,868,5,1121,9126,85,27558,79
Traffic Trace 249,1,291,7604,3217,208,5,1618,7474,7,4768,55
Traffic Trace 250,1,261,10322,3608,76,5,1679,9318,19,38786,70
Traffic Trace 251,1,259,8985,2488,300,3,1417,9279,6,32165,58
Traffic Trace 252,5,265,12004,3987,931,10,1067,7029,49,10075,22
Traffic Trace 253,1,252,5233,2876,735,0,1870,8144,78,57950,56
Traffic Trace 254,3,277,13047,2695,952,6,1691,8462,19,13624,80
Traffic Trace 255,10,261,11222,3749,291,8,1420,8376,97,34644,51
Traffic Trace 256,2,263,4492,1702,125,6,1121,7274,19,28148,63
Traffic Trace 257,0,254,9075,2850,788,0,1870,7043,87,51199,24
Traffic Trace 258,6,289,8399,1670,201,10,1300,9336,50,34161,3
Traffic Trace 259,8,296,3246,1837,34,2,1573,8510,88,37454,60
Traffic Trace 260,4,265,6414,2315,165,4,1382,7055,64,58591,80
Traffic Trace 261,1,265,1014,1041,611,8,1656,7542,82,24453,9
Traffic Trace 262,10,290,2788,1294,362,6,1104,9961,23,33510,28
Traffic Trace 263,6,253,7266,563,459,5,1657,8308,26,49449,75
Traffic Trace 264,2,299,6011,662,635,5,1861,7127,63,50148,84
Traffic Trace 265,8,253,3725,1869,167,1,1622,9177,46,14314,81
Traffic Trace 266,10,263,4666,1821,914,7,1643,9214,44,54597,72
Traffic Trace 267,8,298,5920,1693,818,4,1974,8959,22,43999,72
Traffic Trace 268,4,256,13360,2608,746,6,1066,9954,41,58657,24
Traffic Trace 269,7,268,3167,1797,999,9,1815,9725,61,37038,87
Traffic Trace 270,10,298,10544,1741,932,3,1581,8995,5,90,79
Traffic Trace 271,10,280,8491,2396,670,5,1953,8943,76,37521,0
Traffic Trace 272,10,300,1009,3329,811,9,1417,8284,78,22664,39
Traffic Trace 273,5,287,5452,3264,313,10,1841,7943,77,46419,92
Traffic Trace 274,3,266,9234,3394,268,2,1588,9680,24,30181,89
Traffic Trace 275,2,265,10801,1016,729,1,1921,7318,51,22541,84
Traffic Trace 276,9,258,3118,3355,5,5,1588,9338,38,53702,9
Traffic Trace 277,10,286,6077,1227,309,2,1446,9437,14,41088,12
Traffic Trace 278,9,292,12926,3908,753,10,1488,7386,80,19251,29
Traffic Trace 279,10,256,5198,1947,724,0,1798,8858,17,46159,34
Traffic Trace 280,5,299,10106,3274,423,5,1938,7323,59,46969,94
Traffic Trace 281,4,288,10707,1886,244,9,1192,8696,11,8395,70
Traffic Trace 282,4,278,6963,2234,350,0,1670,7359,39,12348,9
Traffic Trace 283,0,300,8278,2248,936,6,1085,9156,57,31418,47
Traffic Trace 284,2,296,11071,791,112,3,1199,7755,99,36956,81
Traffic Trace 285,4,255,3179,2101,781,3,1844,9960,37,52825,99
Traffic Trace 286,9,269,13889,2319,465,7,1087,9967,11,20913,91
Traffic Trace 287,9,272,1288,913,632,2,1104,7742,7,31001,36
Traffic Trace 288,2,299,2952,2281,818,1,1881,9095,11,46395,7
Traffic Trace 289,0,264,8608,2847,380,5,1785,9187,44,37097,16
Traffic Trace 290,5,287,12091,3070,841,0,1812,8072,40,2705,33
Traffic Trace 291,5,278,3093,2823,435,9,1775,7624,93,48353,50
Traffic Trace 292,5,274,13344,506,261,6,1443,9639,77,54269,62
Traffic Trace 293,6,282,7394,2611,450,8,1001,8487,14,32348,4
Traffic Trace 294,3,260,7780,1001,978,7,1069,9350,19,32300,26
Traffic Trace 295,0,277,8294,2901,983,4,1458,9663,1,1282,53
Traffic Trace 296,5,281,14671,1506,626,5,1433,7495,52,43723,37
Traffic Trace 297,0,294,5834,2943,941,1,1892,8438,39,58022,1
Traffic Trace 298,10,283,1030,1584,110,9,1326,7396,41,47985,76
Traffic Trace 299,4,254,6360,3524,521,6,1385,7748,92,23450,12
Traffic Trace 300,2,254,1869,1864,981,5,1778,9843,56,41239,60
Traffic Trace 301,6,300,10961,2083,323,9,1868,7370,60,15591,21
Traffic Trace 302,10,256,11238,2359,509,10,1447,9700,10,42520,99
Traffic Trace 303,1,255,14571,2968,877,10,1266,8692,52,49712,56
Traffic Trace 304,2,264,13386,754,148,0,1673,8226,22,39373,53
Traffic Trace 305,10,259,1579,3757,635,10,1032,8030,93,11773,44
Traffic Trace 306,9,295,5460,3357,167,9,1334,9988,44,33776,27
Traffic Trace 307,3,282,6953,1677,308,9,1555,9895,36,30294,15
Traffic Trace 308,4,272,12019,1721,468,1,1279,8992,57,10683,57
Traffic Trace 309,9,300,11255,3208,328,8,1217,9673,0,32736,53
Traffic Trace 310,4,294,12694,1423,437,8,1630,9826,96,2246,38
Traffic Trace 311,8,269,12830,3545,665,5,1442,9529,7,19993,84
Traffic Trace 312,8,255,3315,2372,324,0,1540,9609,58,58179,75
Traffic Trace 313,4,261,3640,1264,864,1,1171,9703,51,54629,28
Traffic Trace 314,3,289,14328,3516,222,8,1936,8668,63,44545,66
Traffic Trace 315,8,264,14812,3489,817,9,1437,9360,61,51324,2
Traffic Trace 316,8,253,13368,3744,245,8,1434,7466,7,47238,94
Traffic Trace 317,0,283,3217,3364,585,7,1450,7981,38,14890,61
Traffic Trace 318,3,255,6898,1268,539,2,1828,8184,23,37403,47
Traffic Trace 319,1,278,10988,3634,985,9,1967,9316,81,59396,42
Traffic Trace 320,10,291,1076,2870,258,3,1054,8521,94,25048,61
Traffic Trace 321,3,282,3076,2481,464,5,1794,7262,1,54301,64
Traffic Trace 322,7,290,9712,2578,767,4,1398,9271,82,21653,57
Traffic Trace 323,9,251,12535,1035,92,3,1090,8528,94,26891,14
Traffic Trace 324,0,250,9550,2709,808,7,1643,9139,33,22052,51
Traffic Trace 325,10,299,4928,1733,359,0,1167,9161,60,59274,76
Traffic Trace 326,4,257,12902,3152,231,3,1698,9038,51,47140,70
Traffic Trace 327,1,271,8019,3353,59,2,1151,8281,73,6555,39
Traffic Trace 328,0,273,11463,661,629,5,1649,8851,22,4538,76
Traffic Trace 329,0,292,14845,2023,531,7,1942,7949,36,3493,74
Traffic Trace 330,9,294,12098,769,24,2,1805,7401,61,48791,60
Traffic Trace 331,3,293,4141,3380,508,9,1048,8751,60,7433,42
Traffic Trace 332,6,278,14267,1397,501,2,1618,8677,100,28816,43
Traffic Trace 333,8,278,7391,533,362,6,1617,7525,18,58353,3
Traffic Trace 334,4,290,8594,1379,844,1,1851,9902,54,26322,53
Traffic Trace 335,5,285,1378,3142,312,6,1752,9379,1,32505,35
Traffic Trace 336,5,278,10971,726,168,9,1250,7423,93,39600,94
Traffic Trace 337,5,296,11916,2567,762,8,1133,7601,27,37452,90
Traffic Trace 338,3,269,3910,3603,130,0,1905,9018,35,22736,22
Traffic Trace 339,0,272,6493,3827,694,5,1873,8061,47,20200,26
Traffic Trace 340,2,297,1374,3989,60,2,1270,9055,12,34237,6
Traffic Trace 341,3,273,3723,1659,361,9,1682,9221,9,44693,18
Traffic Trace 342,5,285,13289,558,568,2,1487,9713,50,44172,83
Traffic Trace 343,5,287,13489,3127,2,6,1873,8721,64,12203,3
Traffic Trace 344,9,277,6486,2958,216,1,1793,9884,31,16568,66
Traffic Trace 345,2,264,4139,1989,780,1,1922,8547,96,26708,25
Traffic Trace 346,9,259,4518,2001,68,9,1069,7815,86,54287,81
Traffic Trace 347,2,280,1320,1828,400,10,1696,9028,64,53371,97
Traffic Trace 348,9,266,11477,3978,237,2,1954,9046,51,48331,88
Traffic Trace 349,8,261,14245,2560,304,2,1444,7626,2,41468,82
Traffic Trace 350,0,253,4020,610,766,9,1672,8967,86,32244,98
Traffic Trace 351,6,277,3904,3556,485,9,1385,7870,77,8941,52
Traffic Trace 352,7,287,12600,3758,181,0,1956,9618,86,141,95
Traffic Trace 353,0,251,10931,3863,706,4,1822,7730,33,25821,78
Traffic Trace 354,5,265,4627,2014,689,6,1199,9513,7,54740,58
Traffic Trace 355,9,292,11594,3789,799,6,1793,9402,57,51697,84
Traffic Trace 356,3,291,8568,2764,644,8,1983,7222,56,31544,38
Traffic Trace 357,8,298,1922,1783,157,9,1440,7210,48,20548,92
Traffic Trace 358,2,264,10960,3527,74,5,1437,9809,34,43136,76
Traffic Trace 359,9,268,6631,2849,348,5,1229,9623,86,2835,84
Traffic Trace 360,10,271,14862,3381,855,0,1302,7590,98,32233,48
Traffic Trace 361,7,270,8749,1188,839,5,1543,8674,25,25809,93
Traffic Trace 362,7,255,4810,944,331,1,1981,8134,98,53994,79
Traffic Trace 363,10,286,10049,601,24,9,1002,8686,32,41216,97
Traffic Trace 364,9,295,12240,1778,427,3,1614,9571,28,15859,96
Traffic Trace 365,6,269,5045,2961,372,7,1682,7814,46,39038,100
Traffic Trace 366,1,284,1268,3820,682,6,1270,8106,55,8760,25
Traffic Trace 367,3,276,10509,2980,125,5,1994,8168,49,32988,78
Traffic Trace 368,8,262,3130,2076,935,4,1910,8756,42,876,26
Traffic Trace 369,4,299,14255,564,233,3,1563,8139,57,54653,89
Traffic Trace 370,2,281,1223,3242,613,4,1277,7486,18,3645,41
Traffic Trace 371,3,276,5896,3166,420,10,1179,8304,20,37025,40
Traffic Trace 372,1,282,9843,2118,198,0,1030,7328,91,16633,73
Traffic Trace 373,10,253,5778,1632,338,5,1509,8196,92,50831,91
Traffic Trace 374,2,281,5618,1211,789,8,1403,8217,16,32994,4
Traffic Trace 375,8,250,4356,3319,42,3,1708,7958,7,37561,38
Traffic Trace 376,4,298,11051,3730,459,1,1842,7918,2,6579,92
Traffic Trace 377,3,265,10846,923,716,1,1283,7798,15,4655,28
